,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
146,147,NO APPEND,Well?,Mr. Teddy Henfrey,['Fearenside'],NO MONOLOGUE,0,4,Explicit,said Teddy Henfrey
147,148,NO APPEND,"That s all. He never said a word; just glared, and put his sleeve back in his pocket quickly.  I was saying,  said he,  that there was the prescription burning, wasn t I?  Interrogative cough.  How the devil,  said I,  can you move an empty sleeve like that?   Empty sleeve?   Yes,  said I,  an empty sleeve. ",Cuss,['Bunting'],NO MONOLOGUE,0,4,Implicit,
148,149,NO APPEND," It s an empty sleeve, is it? You saw it was an empty sleeve?  He stood up right away. I stood up too. He came towards me in three very slow steps, and stood quite close. Sniffed venomously. I didn t flinch, though I m hanged if that bandaged knob of his, and those blinkers, aren t enough to unnerve any one, coming quietly up to you.",Cuss,['Bunting'],NO MONOLOGUE,0,4,Implicit,
149,150,NO APPEND," You said it was an empty sleeve?  he said.  Certainly,  I said. At staring and saying nothing a barefaced man, unspectacled, starts scratch. Then very quietly he pulled his sleeve out of his pocket again, and raised his arm towards me as though he would show it to me again. He did it very, very slowly. I looked at it. Seemed an age.  Well?  said I, clearing my throat,  there s nothing in it. ",Cuss,['Bunting'],NO MONOLOGUE,0,4,Implicit,
150,151,NO APPEND,"Had to say something. I was beginning to feel frightened. I could see right down it. He extended it straight towards me, slowly, slowly just like that until the cuff was six inches from my face. Queer thing to see an empty sleeve come at you like that! And then ",Cuss,['Bunting'],NO MONOLOGUE,0,4,Implicit,
151,152,NO APPEND,Well?,Mr. Teddy Henfrey,['Fearenside'],NO MONOLOGUE,0,4,Explicit,said Teddy Henfrey
152,153,NO APPEND,Something exactly like a finger and thumb it felt nipped my nose.,Cuss,['Bunting'],NO MONOLOGUE,0,4,Implicit,
153,154,Bunting began to laugh.,NO QUOTE,,,,0,4,1.0,1.0
154,155," said Cuss, his voice running up into a shriek at the  /newquote  ","There wasn t anything there! /newquote there. /newquote It s all very well for you to laugh, but I tell you I was so startled, I hit his cuff hard, and turned around, and cut out of the room I left him ",Cuss,['Bunting'],NO MONOLOGUE,0,4,Explicit,said Cuss
155,156,"Cuss stopped. There was no mistaking the sincerity of his panic. He turned round in a helpless way and took a second glass of the excellent vicar s very inferior sherry.  /newquote  said Cuss, ","When I hit his cuff, /newquote I tell you, it felt exactly like hitting an arm. And there wasn t an arm! There wasn t the ghost of an arm!",Cuss,['Bunting'],NO MONOLOGUE,0,4,Explicit,said Cuss
156,157,"Mr. Bunting thought it over. He looked suspiciously at Cuss.  /newquote  he said. He looked very wise and grave indeed.  /newquote  said Mr. Bunting with judicial emphasis, ","It s a most remarkable story, /newquote It s really, /newquote a most remarkable story.",Bunting,['Cuss'],NO MONOLOGUE,0,4,Explicit,said Mr Bunting
157,158,THE BURGLARY AT THE VICARAGE,NO QUOTE,,,,0,5,1.0,1.0
158,159,"The facts of the burglary at the vicarage came to us chiefly through the medium of the vicar and his wife. It occurred in the small hours of Whit Monday, the day devoted in Iping to the Club festivities. Mrs. Bunting, it seems, woke up suddenly in the stillness that comes before the dawn, with the strong impression that the door of their bedroom had opened and closed. She did not arouse her husband at first, but sat up in bed listening. She then distinctly heard the pad, pad, pad of bare feet coming out of the adjoining dressing-room and walking along the passage towards the staircase. As soon as she felt assured of this, she aroused the Rev. Mr. Bunting as quietly as possible. He did not strike a light, but putting on his spectacles, her dressing-gown and his bath slippers, he went out on the landing to listen. He heard quite distinctly a fumbling going on at his study desk down-stairs, and then a violent sneeze.",NO QUOTE,,,,0,5,1.0,1.0
159,160,"At that he returned to his bedroom, armed himself with the most obvious weapon, the poker, and descended the staircase as noiselessly as possible. Mrs. Bunting came out on the landing.",NO QUOTE,,,,0,5,1.0,1.0
160,161,"The hour was about four, and the ultimate darkness of the night was past. There was a faint shimmer of light in the hall, but the study doorway yawned impenetrably black. Everything was still except the faint creaking of the stairs under Mr. Bunting s tread, and the slight movements in the study. Then something snapped, the drawer was opened, and there was a rustle of papers. Then came an imprecation, and a match was struck and the study was flooded with yellow light. Mr. Bunting was now in the hall, and through the crack of the door he could see the desk and the open drawer and a candle burning on the desk. But the robber he could not see. He stood there in the hall undecided what to do, and Mrs. Bunting, her face white and intent, crept slowly downstairs after him. One thing kept Mr. Bunting s courage; the persuasion that this burglar was a resident in the village.",NO QUOTE,,,,0,5,1.0,1.0
161,162,"They heard the chink of money, and realised that the robber had found the housekeeping reserve of gold two pounds ten in half sovereigns altogether. At that sound Mr. Bunting was nerved to abrupt action. Gripping the poker firmly, he rushed into the room, closely followed by Mrs. Bunting.  /newquote  cried Mr. Bunting, fiercely, and then stooped amazed. Apparently the room was perfectly empty.",Surrender!,Bunting,['Mrs. Bunting'],NO MONOLOGUE,0,5,Explicit,cried Mr Bunting
162,163,"Yet their conviction that they had, that very moment, heard somebody moving in the room had amounted to a certainty. For half a minute, perhaps, they stood gaping, then Mrs. Bunting went across the room and looked behind the screen, while Mr. Bunting, by a kindred impulse, peered under the desk. Then Mrs. Bunting turned back the window-curtains, and Mr. Bunting looked up the chimney and probed it with the poker. Then Mrs. Bunting scrutinised the waste-paper basket and Mr. Bunting opened the lid of the coal-scuttle. Then they came to a stop and stood with eyes interrogating each other.",NO QUOTE,,,,0,5,1.0,1.0
163,164, said Mr. Bunting.,I could have sworn ,Bunting,['Mrs. Bunting'],NO MONOLOGUE,0,5,Explicit,said Mr Bunting
164,165, said Mr. Bunting. ,The candle! /newquote Who lit the candle?,Bunting,['Mrs. Bunting'],NO MONOLOGUE,0,5,Explicit,said Mr Bunting
165,166, said Mrs. Bunting. ,The drawer! /newquote And the money s gone!,Mrs. Bunting,['Bunting'],NO MONOLOGUE,0,5,Explicit,said Mrs Bunting
166,167,She went hastily to the doorway.,NO QUOTE,,,,0,5,1.0,1.0
167,168,NO APPEND,Of all the strange occurrences ,Mrs. Bunting,['Bunting'],NO MONOLOGUE,0,5,Implicit,
168,169,"There was a violent sneeze in the passage. They rushed out, and as they did so the kitchen door slammed.  /newquote  said Mr. Bunting, and led the way. They both heard a sound of bolts being hastily shot back.","Bring the candle,",Bunting,['Mrs. Bunting'],NO MONOLOGUE,0,5,Explicit,said Mr Bunting
169,170,"As he opened the kitchen door he saw through the scullery that the back door was just opening, and the faint light of early dawn displayed the dark masses of the garden beyond. He is certain that nothing went out of the door. It opened, stood open for a moment, and then closed with a slam. As it did so, the candle Mrs. Bunting was carrying from the study flickered and flared. It was a minute or more before they entered the kitchen.",NO QUOTE,,,,0,5,1.0,1.0
170,171,"The place was empty. They refastened the back door, examined the kitchen, pantry, and scullery thoroughly, and at last went down into the cellar. There was not a soul to be found in the house, search as they would.",NO QUOTE,,,,0,5,1.0,1.0
171,172,"Daylight found the vicar and his wife, a quaintly-costumed little couple, still marvelling about on their own ground floor by the unnecessary light of a guttering candle.",NO QUOTE,,,,0,5,1.0,1.0
172,173,THE FURNITURE THAT WENT MAD,NO QUOTE,,,,0,6,1.0,1.0
173,174,"Now it happened that in the early hours of Whit Monday, before Millie was hunted out for the day, Mr. Hall and Mrs. Hall both rose and went noiselessly down into the cellar. Their business there was of a private nature, and had something to do with the specific gravity of their beer. They had hardly entered the cellar when Mrs. Hall found she had forgotten to bring down a bottle of sarsaparilla from their joint-room. As she was the expert and principal operator in this affair, Hall very properly went upstairs for it.",NO QUOTE,,,,0,6,1.0,1.0
174,175,On the landing he was surprised to see that the stranger s door was ajar. He went on into his own room and found the bottle as he had been directed.,NO QUOTE,,,,0,6,1.0,1.0
175,176,"But returning with the bottle, he noticed that the bolts of the front door had been shot back, that the door was in fact simply on the latch. And with a flash of inspiration he connected this with the stranger s room upstairs and the suggestions of Mr. Teddy Henfrey. He distinctly remembered holding the candle while Mrs. Hall shot these bolts overnight. At the sight he stopped, gaping, then with the bottle still in his hand went upstairs again. He rapped at the stranger s door. There was no answer. He rapped again; then pushed the door wide open and entered.",NO QUOTE,,,,0,6,1.0,1.0
176,177,"It was as he expected. The bed, the room also, was empty. And what was stranger, even to his heavy intelligence, on the bedroom chair and along the rail of the bed were scattered the garments, the only garments so far as he knew, and the bandages of their guest. His big slouch hat even was cocked jauntily over the bed-post.",NO QUOTE,,,,0,6,1.0,1.0
177,178,"As Hall stood there he heard his wife s voice coming out of the depth of the cellar, with that rapid telescoping of the syllables and interrogative cocking up of the final words to a high note, by which the West Sussex villager is wont to indicate a brisk impatience. ",George! You gart whad a wand?,Mrs. Hall,['Mr. Hall'],NO MONOLOGUE,0,6,Implicit,
178,179,"At that he turned and hurried down to her.  /newquote  he said, over the rail of the cellar steps, ","Janny, /newquote  tas the truth what Henfrey sez.  E s not in uz room,  e en t. And the front door s onbolted.",Mr. Hall,['Mrs. Hall'],NO MONOLOGUE,0,6,Anaphoric,he said
179,180,"At first Mrs. Hall did not understand, and as soon as she did she resolved to see the empty room for herself. Hall, still holding the bottle, went first.  /newquote  he said, ","If  e en t there, /newquote  is close are. And what s  e doin   ithout  is close, then?  Tas a most curious business.",Mr. Hall,['Mrs. Hall'],NO MONOLOGUE,0,6,Anaphoric,he said
180,181,"As they came up the cellar steps they both, it was afterwards ascertained, fancied they heard the front door open and shut, but seeing it closed and nothing there, neither said a word to the other about it at the time. Mrs. Hall passed her husband in the passage and ran on first upstairs. Someone sneezed on the staircase. Hall, following six steps behind, thought that he heard her sneeze. She, going on first, was under the impression that Hall was sneezing. She flung open the door and stood regarding the room.  /newquote  she said.",Of all the curious!,Mrs. Hall,['Mr. Hall'],NO MONOLOGUE,0,6,Anaphoric,she said
181,182,"She heard a sniff close behind her head as it seemed, and turning, was surprised to see Hall a dozen feet off on the topmost stair. But in another moment he was beside her. She bent forward and put her hand on the pillow and then under the clothes.",NO QUOTE,,,,0,6,1.0,1.0
182,183, she said. ,"Cold, /newquote He s been up this hour or more.",Mrs. Hall,['Mr. Hall'],NO MONOLOGUE,0,6,Anaphoric,she said
183,184,"As she did so, a most extraordinary thing happened. The bed-clothes gathered themselves together, leapt up suddenly into a sort of peak, and then jumped headlong over the bottom rail. It was exactly as if a hand had clutched them in the centre and flung them aside. Immediately after, the stranger s hat hopped off the bed-post, described a whirling flight in the air through the better part of a circle, and then dashed straight at Mrs. Hall s face. Then as swiftly came the sponge from the washstand; and then the chair, flinging the stranger s coat and trousers carelessly aside, and laughing drily in a voice singularly like the stranger s, turned itself up with its four legs at Mrs. Hall, seemed to take aim at her for a moment, and charged at her. She screamed and turned, and then the chair legs came gently but firmly against her back and impelled her and Hall out of the room. The door slammed violently and was locked. The chair and bed seemed to be executing a dance of triumph for a moment, and then abruptly everything was still.",NO QUOTE,,,,0,6,1.0,1.0
184,185,"Mrs. Hall was left almost in a fainting condition in Mr. Hall s arms on the landing. It was with the greatest difficulty that Mr. Hall and Millie, who had been roused by her scream of alarm, succeeded in getting her downstairs, and applying the restoratives customary in such cases.",NO QUOTE,,,,0,6,1.0,1.0
185,186, said Mrs. Hall. ," Tas sperits, /newquote I know  tas sperits. I ve read in papers of en. Tables and chairs leaping and dancing...",Mrs. Hall,['Mr. Hall'],NO MONOLOGUE,0,6,Explicit,said Mrs Hall
186,187, said Hall. ,"Take a drop more, Janny, /newquote  Twill steady ye.",Mr. Hall,['Mrs. Hall'],NO MONOLOGUE,0,6,Explicit,said Hall
187,188, said Mrs. Hall. ,"Lock him out, /newquote Don t let him come in again. I half guessed I might ha  known. With them goggling eyes and bandaged head, and never going to church of a Sunday. And all they bottles more n it s right for any one to have. He s put the sperits into the furniture.... My good old furniture!  Twas in that very chair my poor dear mother used to sit when I was a little girl. To think it should rise up against me now!",Mrs. Hall,['Mr. Hall'],NO MONOLOGUE,0,6,Explicit,said Mrs Hall
188,189, said Hall. ,"Just a drop more, Janny, /newquote Your nerves is all upset.",Mr. Hall,['Mrs. Hall'],NO MONOLOGUE,0,6,Explicit,said Hall
189,190,"They sent Millie across the street through the golden five o clock sunshine to rouse up Mr. Sandy Wadgers, the blacksmith. Mr. Hall s compliments and the furniture upstairs was behaving most extraordinary. Would Mr. Wadgers come round? He was a knowing man, was Mr. Wadgers, and very resourceful. He took quite a grave view of the case.  /newquote  was the view of Mr. Sandy Wadgers. ","Arm darmed if thet ent witchcraft, /newquote You warnt horseshoes for such gentry as he.",Mr. Sandy Wadgers,[],NO MONOLOGUE,0,6,Explicit,was the view of Mr Sandy Wadgers
190,191,"He came round greatly concerned. They wanted him to lead the way upstairs to the room, but he didn t seem to be in any hurry. He preferred to talk in the passage. Over the way Huxter s apprentice came out and began taking down the shutters of the tobacco window. He was called over to join the discussion. Mr. Huxter naturally followed over in the course of a few minutes. The Anglo-Saxon genius for parliamentary government asserted itself; there was a great deal of talk and no decisive action.  /newquote  insisted Mr. Sandy Wadgers. ","Let s have the facts first, /newquote Let s be sure we d be acting perfectly right in bustin  that there door open. A door onbust is always open to bustin , but ye can t onbust a door once you ve busted en.",Mr. Sandy Wadgers,"['Mr. Hall', 'Mrs. Hall', 'Huxter']",NO MONOLOGUE,0,6,Explicit,insisted Mr Sandy Wadgers
191,192,"And suddenly and most wonderfully the door of the room upstairs opened of its own accord, and as they looked up in amazement, they saw descending the stairs the muffled figure of the stranger staring more blackly and blankly than ever with those unreasonably large blue glass eyes of his. He came down stiffly and slowly, staring all the time; he walked across the passage staring, then stopped.",NO QUOTE,,,,0,6,1.0,1.0
192,193," he said, and their eyes followed the direction of his gloved finger and saw a bottle of sarsaparilla hard by the cellar door. Then he entered the parlour, and suddenly, swiftly, viciously, slammed the door in their faces.",Look there!,The Invisible Man,"['Mr. Hall', 'Mrs. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,6,Anaphoric,he said
193,194,"Not a word was spoken until the last echoes of the slam had died away. They stared at one another.  /newquote  said Mr. Wadgers, and left the alternative unsaid.","Well, if that don t lick everything!",Mr. Sandy Wadgers,"['Mr. Hall', 'Mrs. Hall', 'Huxter']",NO MONOLOGUE,0,6,Explicit,said Mr Wadgers
194,195," said Wadgers, to Mr. Hall. ","I d go in and ask n  bout it, /newquote I d d mand an explanation.",Mr. Sandy Wadgers,"['Mr. Hall', 'Mrs. Hall', 'Huxter']",NO MONOLOGUE,0,6,Explicit,said Wadgers to Mr Hall
195,196,"It took some time to bring the landlady s husband up to that pitch. At last he rapped, opened the door, and got as far as, ",Excuse me ,Mr. Hall,"['The Invisible Man', 'Mrs. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,6,Anaphoric,he rapped opened the door and got as far as
196,197," said the stranger in a tremendous voice, and  /newquote  So that brief interview terminated.",Go to the devil! /newquote Shut that door after you.,The Invisible Man,"['Mr. Hall', 'Mrs. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,6,Explicit,said the stranger
197,198,THE UNVEILING OF THE STRANGER,NO QUOTE,,,,0,7,1.0,1.0
198,199,"The stranger went into the little parlour of the  /newquote  about half-past five in the morning, and there he remained until near midday, the blinds down, the door shut, and none, after Hall s repulse, venturing near him.",Coach and Horses,Mr. Teddy Henfrey,['Mr. Hall'],NO MONOLOGUE,0,7,Explicit,said Teddy
199,200,"All that time he must have fasted. Thrice he rang his bell, the third time furiously and continuously, but no one answered him.  /newquote  said Mrs. Hall. Presently came an imperfect rumour of the burglary at the vicarage, and two and two were put together. Hall, assisted by Wadgers, went off to find Mr. Shuckleforth, the magistrate, and take his advice. No one ventured upstairs. How the stranger occupied himself is unknown. Now and then he would stride violently up and down, and twice came an outburst of curses, a tearing of paper, and a violent smashing of bottles.",Him and his  go to the devil  indeed!,Mrs. Hall,[],NO MONOLOGUE,0,7,Explicit,said Mrs Hall
200,201,"The little group of scared but curious people increased. Mrs. Huxter came over; some gay young fellows resplendent in black ready-made jackets and _piqu _ paper ties for it was Whit Monday joined the group with confused interrogations. Young Archie Harker distinguished himself by going up the yard and trying to peep under the window-blinds. He could see nothing, but gave reason for supposing that he did, and others of the Iping youth presently joined him.",NO QUOTE,,,,0,7,1.0,1.0
201,202,"It was the finest of all possible Whit Mondays, and down the village street stood a row of nearly a dozen booths, a shooting gallery, and on the grass by the forge were three yellow and chocolate waggons and some picturesque strangers of both sexes putting up a cocoanut shy. The gentlemen wore blue jerseys, the ladies white aprons and quite fashionable hats with heavy plumes. Wodger, of the  /newquote  and Mr. Jaggers, the cobbler, who also sold old second-hand ordinary bicycles, were stretching a string of union-jacks and royal ensigns (which had originally celebrated the first Victorian Jubilee) across the road.","Purple Fawn,",The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Anaphoric,he cried
202,203,"And inside, in the artificial darkness of the parlour, into which only one thin jet of sunlight penetrated, the stranger, hungry we must suppose, and fearful, hidden in his uncomfortable hot wrappings, pored through his dark glasses upon his paper or chinked his dirty little bottles, and occasionally swore savagely at the boys, audible if invisible, outside the windows. In the corner by the fireplace lay the fragments of half a dozen smashed bottles, and a pungent twang of chlorine tainted the air. So much we know from what was heard at the time and from what was subsequently seen in the room.",NO QUOTE,,,,0,7,1.0,1.0
203,204,About noon he suddenly opened his parlour door and stood glaring fixedly at the three or four people in the bar.  /newquote  he said. Somebody went sheepishly and called for Mrs. Hall.,"Mrs. Hall,",Mr. Teddy Henfrey,['Mrs. Hall'],NO MONOLOGUE,0,7,Anaphoric,said he
204,205,"Mrs. Hall appeared after an interval, a little short of breath, but all the fiercer for that. Hall was still out. She had deliberated over this scene, and she came holding a little tray with an unsettled bill upon it.  /newquote  she said.","Is it your bill you re wanting, sir?",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,7,Anaphoric,she said
205,206,NO APPEND,Why wasn t my breakfast laid? Why haven t you prepared my meals and answered my bell? Do you think I live without eating?,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Implicit,
206,207, said Mrs. Hall. ,Why isn t my bill paid? /newquote That s what I want to know.,Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,7,Explicit,said Mrs Hall
207,208,NO APPEND,I told you three days ago I was awaiting a remittance ,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Implicit,
208,209,NO APPEND,"I told you two days ago I wasn t going to await no remittances. You can t grumble if your breakfast waits a bit, if my bill s been waiting these five days, can you?",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,7,Implicit,
209,210,The stranger swore briefly but vividly.,NO QUOTE,,,,0,7,1.0,1.0
210,211, from the bar.,"Nar, nar!",The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Anaphoric,he cried
211,212, said Mrs. Hall.,"And I d thank you kindly, sir, if you d keep your swearing to yourself, sir,",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,7,Explicit,said Mrs Hall
212,213,The stranger stood looking more like an angry diving-helmet than ever. It was universally felt in the bar that Mrs. Hall had the better of him. His next words showed as much.,NO QUOTE,,,,0,7,1.0,1.0
213,214, he began.,"Look here, my good woman ",The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Anaphoric,he began
214,215, said Mrs. Hall.,"Don t  good woman  _me_,",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,7,Explicit,said Mrs Hall
215,216,NO APPEND,I ve told you my remittance hasn t come.,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Implicit,
216,217, said Mrs. Hall.,Remittance indeed!,Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,7,Explicit,said Mrs Hall
217,218,NO APPEND,"Still, I daresay in my pocket ",The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Implicit,
218,219,NO APPEND,You told me three days ago that you hadn t anything but a sovereign s worth of silver upon you.,Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,7,Implicit,
219,220,NO APPEND,"Well, I ve found some more ",The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Implicit,
220,221, from the bar., Ul-lo!,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Anaphoric,he cried
221,222, said Mrs. Hall.,"I wonder where you found it,",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,7,Explicit,said Mrs Hall
222,223,That seemed to annoy the stranger very much. He stamped his foot.  /newquote  he said.,What do you mean?,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Anaphoric,he said
223,224, said Mrs. Hall. ,"That I wonder where you found it, /newquote And before I take any bills or get any breakfasts, or do any such things whatsoever, you got to tell me one or two things I don t understand, and what nobody don t understand, and what everybody is very anxious to understand. I want to know what you been doing t my chair upstairs, and I want to know how  tis your room was empty, and how you got in again. Them as stops in this house comes in by the doors that s the rule of the house, and that you _didn t_ do, and what I want to know is how you _did_ come in. And I want to know ",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,7,Explicit,said Mrs Hall
224,225,"Suddenly the stranger raised his gloved hands clenched, stamped his foot, and said,  /newquote  with such extraordinary violence that he silenced her instantly.",Stop!,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Explicit,the stranger raised his gloved hands clenched stamped his foot and said
225,226," he said,  /newquote  Then he put his open palm over his face and withdrew it. The centre of his face became a black cavity.  /newquote  he said. He stepped forward and handed Mrs. Hall something which she, staring at his metamorphosed face, accepted automatically. Then, when she saw what it was, she screamed loudly, dropped it, and staggered back. The nose it was the stranger s nose! pink and shining rolled on the floor.","You don t understand, /newquote who I am or what I am. I ll show you. By Heaven! I ll show you. /newquote Here,",The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,7,Anaphoric,he said
226,227,"Then he removed his spectacles, and everyone in the bar gasped. He took off his hat, and with a violent gesture tore at his whiskers and bandages. For a moment they resisted him. A flash of horrible anticipation passed through the bar.  /newquote  said some one. Then off they came.","Oh, my Gard!",Mrs. Hall,[],NO MONOLOGUE,0,7,Anaphoric,she said
227,228,"It was worse than anything. Mrs. Hall, standing open-mouthed and horror-struck, shrieked at what she saw, and made for the door of the house. Everyone began to move. They were prepared for scars, disfigurements, tangible horrors, but nothing! The bandages and false hair flew across the passage into the bar, making a hobbledehoy jump to avoid them. Everyone tumbled on everyone else down the steps. For the man who stood there shouting some incoherent explanation, was a solid gesticulating figure up to the coat-collar of him, and then nothingness, no visible thing at all!",NO QUOTE,,,,0,7,1.0,1.0
228,229,"People down the village heard shouts and shrieks, and looking up the street saw the  /newquote  violently firing out its humanity. They saw Mrs. Hall fall down and Mr. Teddy Henfrey jump to avoid tumbling over her, and then they heard the frightful screams of Millie, who, emerging suddenly from the kitchen at the noise of the tumult, had come upon the headless stranger from behind. These increased suddenly.",Coach and Horses,Mr. Teddy Henfrey,['Mr. Hall'],NO MONOLOGUE,0,7,Explicit,said Teddy
229,230,"Forthwith everyone all down the street, the sweetstuff seller, cocoanut shy proprietor and his assistant, the swing man, little boys and girls, rustic dandies, smart wenches, smocked elders and aproned gipsies began running towards the inn, and in a miraculously short space of time a crowd of perhaps forty people, and rapidly increasing, swayed and hooted and inquired and exclaimed and suggested, in front of Mrs. Hall s establishment. Everyone seemed eager to talk at once, and the result was Babel. A small group supported Mrs. Hall, who was picked up in a state of collapse. There was a conference, and the incredible evidence of a vociferous eye-witness.  /newquote   /newquote   /newquote   /newquote   /newquote   /newquote  ","O Bogey! /newquote What s he been doin , then? /newquote Ain t hurt the girl,  as  e? /newquote Run at en with a knife, I believe. /newquote No  ed, I tell ye. I don t mean no manner of speaking. I mean _marn  ithout a  ed_! /newquote Narnsense!  tis some conjuring trick. /newquote Fetched off  is wrapping,  e did ",Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,7,Explicit,said Mrs Hall
230,231,"In its struggles to see in through the open door, the crowd formed itself into a straggling wedge, with the more adventurous apex nearest the inn. ","He stood for a moment, I heerd the gal scream, and he turned. I saw her skirts whisk, and he went after her. Didn t take ten seconds. Back he comes with a knife in uz hand and a loaf; stood just as if he was staring. Not a moment ago. Went in that there door. I tell  e,  e ain t gart no  ed at all. You just missed en ",The Invisible Man,['Kemp'],NO MONOLOGUE,0,7,Implicit,
231,232,"There was a disturbance behind, and the speaker stopped to step aside for a little procession that was marching very resolutely towards the house; first Mr. Hall, very red and determined, then Mr. Bobby Jaffers, the village constable, and then the wary Mr. Wadgers. They had come now armed with a warrant.",NO QUOTE,,,,0,7,1.0,1.0
232,233,"People shouted conflicting information of the recent circumstances.  /newquote  said Jaffers, "," Ed or no  ed, /newquote I got to  rest en, and  rest en I _will_.",Jaffers,"['Mr. Hall', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Jaffers
233,234,"Mr. Hall marched up the steps, marched straight to the door of the parlour and flung it open.  /newquote  he said, ","Constable, /newquote do your duty.",Mr. Hall,"['Jaffers', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Anaphoric,he said
234,235,"Jaffers marched in. Hall next, Wadgers last. They saw in the dim light the headless figure facing them, with a gnawed crust of bread in one gloved hand and a chunk of cheese in the other.",NO QUOTE,,,,0,7,1.0,1.0
235,236, said Hall.,That s him!,Mr. Hall,"['The Invisible Man', 'Jaffers', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Hall
236,237, came in a tone of angry expostulation from above the collar of the figure.,What the devil s this?,The Invisible Man,"['Mr. Hall', 'Jaffers', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Anaphoric,came in a tone of angry expostulation from above the collar of the figure
237,238, said Mr. Jaffers. ,"You re a damned rum customer, mister, /newquote But  ed or no  ed, the warrant says  body,  and duty s duty ",Jaffers,"['The Invisible Man', 'Mr. Hall', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Mr Jaffers
238,239," said the figure, starting back.",Keep off!,The Invisible Man,"['Mr. Hall', 'Jaffers', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Anaphoric,said the figure
239,240,"Abruptly he whipped down the bread and cheese, and Mr. Hall just grasped the knife on the table in time to save it. Off came the stranger s left glove and was slapped in Jaffers  face. In another moment Jaffers, cutting short some statement concerning a warrant, had gripped him by the handless wrist and caught his invisible throat. He got a sounding kick on the shin that made him shout, but he kept his grip. Hall sent the knife sliding along the table to Wadgers, who acted as goal-keeper for the offensive, so to speak, and then stepped forward as Jaffers and the stranger swayed and staggered towards him, clutching and hitting in. A chair stood in the way, and went aside with a crash as they came down together.",NO QUOTE,,,,0,7,1.0,1.0
240,241, said Jaffers between his teeth.,"Get the feet,",Jaffers,"['The Invisible Man', 'Mr. Hall', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Jaffers
241,242,"Mr. Hall, endeavouring to act on instructions, received a sounding kick in the ribs that disposed of him for a moment, and Mr. Wadgers, seeing the decapitated stranger had rolled over and got the upper side of Jaffers, retreated towards the door, knife in hand, and so collided with Mr. Huxter and the Sidderbridge carter coming to the rescue of law and order. At the same moment down came three or four bottles from the chiffonnier and shot a web of pungency into the air of the room.",NO QUOTE,,,,0,7,1.0,1.0
242,243," cried the stranger, though he had Jaffers down, and in another moment he stood up panting, a strange figure, headless and handless for he had pulled off his right glove now as well as his left.  /newquote  he said, as if sobbing for breath.","I ll surrender, /newquote It s no good,",The Invisible Man,"['Mr. Hall', 'Jaffers', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Anaphoric,he said
243,244,"It was the strangest thing in the world to hear that voice coming as if out of empty space, but the Sussex peasants are perhaps the most matter-of-fact people under the sun. Jaffers got up also and produced a pair of handcuffs. Then he stared.",NO QUOTE,,,,0,7,1.0,1.0
244,245," said Jaffers, brought up short by a dim realization of the incongruity of the whole business, ",I say! /newquote Darn it! Can t use  em as I can see.,Jaffers,"['Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Jaffers
